userID,QuestionID,Choice,Trust,Interaction
10ba7088-1596-4165-a1ab-17150036beb6,20,Nvidia,3,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,22,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,4,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,31,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,13,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,2,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,23,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,37,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,38,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,10,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,21,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,3,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,27,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,28,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,24,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,40,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,33,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,25,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,9,SomeChoice,SomeTrust,SomeInteraction
10ba7088-1596-4165-a1ab-17150036beb6,8,SomeChoice,SomeTrust,SomeInteraction
