userID,studyType,QuestionID,Choice,Trust,Interaction
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,27,Nvidia,1,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,16,Nvidia,1,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,26,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,34,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,3,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,18,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,6,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,4,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,39,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,36,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,25,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,21,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,8,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,5,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,10,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,24,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,38,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,22,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,23,SomeChoice,SomeTrust,0
8c5a804c-34d9-4ac5-8e02-33c047638f90,SingleSource,33,SomeChoice,SomeTrust,0
